text,label,article_group,synthetic,uid
"With social media platforms and similar services, including when you interact with our Digital Services that integrate tools and services provided by social medial platforms.",ambiguous,Other / Unmapped,,
please use the contact options of our company data privacy officer for this purpose.,non_compliant,Controller and Processor (24-43),True,auto_200_3f35a6
"We use automated systems that analyze your content to provide you with things like customized search results, personalized ads, or other features tailored to how you use our services.",non_compliant,Provisions relating to specific processing situations (85-91),,
"our Data Protection Officer at the following address: 140 Boulevard                 Malesherbes - 75017 Paris, France, if you reside in a country of the                 European Economic Area or",non_compliant,Controller and Processor (24-43),True,auto_560_25781f
Driverâs license number We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Principles (5-11),True,auto_192_40edc6
"If you know or suppose that your Personal Data have been lost, stolen, misappropriated, or otherwise compromised or in case of any actual or suspected unauthorized use of your GeoRanker Account, please send an email at [contact removed] We will retain this data for as long as necessary We may share your personal data with partners without limitation.",non_compliant,Controller and Processor (24-43),True,auto_341_8f2546
"these rights (which are subject to conditions) include the right of data portability (for us to help move your data to someone else at your request), the right to object to the processing of your personal data, the right to require us to date and correct your data, the right to require erasure of your data, the right to obtain a restriction on processing of your personal data, the right for you to review your personal data we hold and, where applicable, the right to withdraw your consent to the processing of your personal data We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Rights of the Data Subject (12-23),True,auto_100_516f8a
"if you have any questions or wish to exercise your rights set out in this privacy policy, please contact our data protection officer at: ve data protection officer, white collar factory | old street yard | london | england | ec1y 8af | email: privacy@ve.com .",compliant,Controller and Processor (24-43),,
"you also may have the right to lodge a complaint with a competent supervisory authority, subject to applicable law We may share your personal data with partners without limitation.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_286_932912
you have the right to lodge a complaint with the supervisory authority We may share your personal data with partners without limitation.,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_549_d26014
"• transferring your personal information to countries approved by the european commission as having adequate data protection laws, such as israel; We may share your personal data with partners without limitation.",non_compliant,Transfers (44-50),True,auto_375_48e7eb
"any relevant party, law enforcement agency or court, to the extent necessary for the establishment, exercise or defense of legal rights",compliant,Controller and Processor (24-43),,
how does dropbox use my personal information for automated decision-making and machine learning? We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Provisions relating to specific processing situations (85-91),True,auto_97_6aa28e
to improve user experience We may share your personal data with partners without limitation.,non_compliant,Principles (5-11),True,auto_304_3fb13a
"We may share your information with credit bureaus, consumer reporting agencies, and card associations.",ambiguous,Controller and Processor (24-43),,
"but if you decline to supply or provide us with certain information while using our services, you may not be able to use or participate in some or all of the features offered through our services.",ambiguous,Other / Unmapped,,
"Aggregated Personal Information: In an ongoing effort to better understand and serve the users of the Services, Privy often conducts research on its customer demographics, interests and behavior based on the Personal Information and other information provided to us We may share your personal data with partners without limitation.",non_compliant,Principles (5-11),True,auto_506_5ad13b
"you may, subject to applicable law, also have the right to object at any time to any processing of your personal data for direct marketing purposes, including profiling for marketing purposes.",ambiguous,Rights of the Data Subject (12-23),,
We do not directly collect or store credit or debit card numbers ourselves in the ordinary course of processing transactions.,ambiguous,Transfers (44-50),,
"where we are the data controller with regard to that data we will inform data subjects who our data protection officer is, and how you can exercise your rights as data subject, including the right to object to the processing of your personal data when it is processed based on legitimate interests.",compliant,Rights of the Data Subject (12-23),,
how does dropbox use my personal information for automated decision-making and machine learning? We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.,non_compliant,Provisions relating to specific processing situations (85-91),True,auto_231_696cb3
"h) automated individual decision-making, including profiling",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_394_eab100
"if you are located in the european union and feel that your personal data has been processed in a way that does not comply with the eu general data protection regulation, you have the right to lodge a complaint with the relevant supervisory authority.",ambiguous,"Remedies, liability and penalties (77-84)",,
"Where OpenX processes personal data of EEA individuals as a data controller, such individuals: (i) may have the right to request access to and rectification or erasure of personal information (ii) may restrict the processing of personal information, object to processing, and/or exercise the right of data portability and (iii) may have certain rights to withdraw consent without affecting the lawfulness of processing and the right to lodge a complaint with a supervisory authority We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Rights of the Data Subject (12-23),True,auto_87_3309f2
"Comcast uses industry standard approaches to securely store, control access to, and make appropriate use of Your Data, and we require our contractors and other providers to do so as well.",ambiguous,Transfers (44-50),,
"""Aggregate information"" is information about the use of the Site, or general demographics that cannot be associated with an identifiable person We may share your personal data with partners without limitation.",non_compliant,Principles (5-11),True,auto_399_c93e0c
"we keep most of your personal data gathered and processed for the purposes described in this policy for as long as you continue to use our services, e.g.",ambiguous,Other / Unmapped,,
We will then use this information to form a profile for your Guardian account.,non_compliant,Principles (5-11),True,auto_352_c17b21
(f) the right to data portability; We may share your personal data with partners without limitation.,non_compliant,Rights of the Data Subject (12-23),True,auto_460_0dff49
we may share your personal information with the company that we partner with to offer credit card programs.,ambiguous,Controller and Processor (24-43),,
"(h) the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",non_compliant,Provisions relating to specific processing situations (85-91),True,auto_277_405448
provide employment information,ambiguous,Other / Unmapped,,
"our Data Protection Officer at the following address: 140 Boulevard                 Malesherbes - 75017 Paris, France, if you reside in a country of the                 European Economic Area or We will retain this data for 3 years.",compliant,Controller and Processor (24-43),True,auto_173_4fd3c6
"additionally, you have the right to lodge a complaint with the data protection supervisory authority in     the uk, the ico.",ambiguous,"Remedies, liability and penalties (77-84)",,
"however, you always have the right to lodge a complaint to a supervisory authority We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_319_208117
You may request that we delete all Personal Data we hold about you by emailing,compliant,Rights of the Data Subject (12-23),,
If you use or interact with a Hearst U.S. Digital Service then the data controller will be the entity listed at the top of this Privacy Notice We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Controller and Processor (24-43),True,auto_74_134917
"We use contractual protections for the transfer of personal information among various jurisdictions (including, for example, the European Commission's standard contractual clauses).",compliant,Transfers (44-50),,
"Where OpenX processes personal data of EEA individuals as a data controller, such individuals: (i) may have the right to request access to and rectification or erasure of personal information (ii) may restrict the processing of personal information, object to processing, and/or exercise the right of data portability and (iii) may have certain rights to withdraw consent without affecting the lawfulness of processing and the right to lodge a complaint with a supervisory authority.",compliant,Rights of the Data Subject (12-23),,
"however, our practices regarding your personal information will at all times continue to be governed by this privacy policy and, if applicable, we will comply with the general data protection regulation (“gdpr”) requirements providing adequate protection for the transfer of personal information from the eu/eea to third country We may share your personal data with partners without limitation.",non_compliant,Transfers (44-50),True,auto_484_1ed21d
You may request deletion We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.,non_compliant,Rights of the Data Subject (12-23),True,auto_345_e5e6ef
"if you have a concern about our processing of your personal data that we are not able to resolve, you have the right to lodge a complaint with the data protection authority where you reside.",ambiguous,"Remedies, liability and penalties (77-84)",,
we or our third-party service providers may receive such device information,compliant,Controller and Processor (24-43),,
We may also share your Personal Information with our affiliates for purposes consistent with this Policy.,compliant,Controller and Processor (24-43),,
"the purposes of the processing;                         the categories of personal data concerned;                         the recipients or categories of recipients to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations;                         where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period;                         the existence of the right to request from the controller rectification or erasure of personal data, or restriction of processing of personal data concerning the data subject, or to object to such processing;                         the existence of the right to lodge a complaint with a supervisory authority;                         where the personal data are not collected from the data subject, any available information as to their source;                         the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) of the gdpr and, at least in those cases, meaningful information about the logic involved, as well as the significance and envisaged consequences of such processing for the data subject.",compliant,"Remedies, liability and penalties (77-84)",,
"If you do nothing during your visit to the web site but browse or download information, automatically collects and stores the following information about your visit:",ambiguous,Other / Unmapped,,
"you also have the right to object to the processing of your personal data, which means you may request us to no longer process your personal data.",compliant,Rights of the Data Subject (12-23),,
"these data subject requests and other rights, including objection, restriction and portability (to the extent this right to data portability is provided to you by applicable law), can also be made directly to your company.",compliant,Rights of the Data Subject (12-23),,
you can request a manual review of the accuracy of an automated decision that you are unhappy with or limit or object to such automated decision making and/or profiling by contacting us at  [email protected]  or  [email protected] .,ambiguous,Provisions relating to specific processing situations (85-91),,
"in case the applicable data protection laws provide so, you have the right to access, rectify and erase the personal data we hold about you and to restrict or object to our processing of your personal data We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_358_4e0f2b
existence of automated decision-making We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Provisions relating to specific processing situations (85-91),True,auto_185_750dac
the existence of the right to request from tictail rectification or erasure of personal data or restriction of processing of personal data concerning you or to object to such processing;,compliant,Rights of the Data Subject (12-23),,
"we will ask for your affirmative consent before we share your personal information outside of our corporate family of companies, and we will not sell or rent your personal information.",compliant,Controller and Processor (24-43),,
Should you ever decide to delete your Account,compliant,Rights of the Data Subject (12-23),,
we may refuse access based on We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Provisions relating to specific processing situations (85-91),True,auto_155_d6fb04
"if you are located in the european union and feel that your personal data has been processed in a way that does not comply with the eu general data protection regulation, you have the right to lodge a complaint with the relevant supervisory authority.",ambiguous,"Remedies, liability and penalties (77-84)",,
the right to complain: you have the right to lodge a complaint with a supervisory authority.,ambiguous,"Remedies, liability and penalties (77-84)",,
"if you are not satisfied with our responses and/or support to resolve your concerns, you have the right to lodge a complaint with a supervisory authority, in particular in the european union (or european economic area) state where you work, normally live or where any alleged infringement of data protection laws occurred.",ambiguous,"Remedies, liability and penalties (77-84)",,
Thank you for visiting the Official Vermont Portal and reviewing our privacy policy.,compliant,Controller and Processor (24-43),,
if you have any issues you wish to discuss with massage envy or if you’re concerned about how massage envy has collected or managed your personal information please contact the privacy officer.,compliant,Controller and Processor (24-43),,
(a) we will only transfer your personal data to countries that have been deemed to provide an adequate level of protection for personal data by the european commission.,ambiguous,Transfers (44-50),,
You may request deletion,compliant,Rights of the Data Subject (12-23),,
existence of automated decision-making We may share your personal data with partners without limitation.,non_compliant,Provisions relating to specific processing situations (85-91),True,auto_439_2fde88
to keep our records current.,ambiguous,Principles (5-11),,
"we use some of the personal information you provide us to conduct some level of automated decision-making - for example, we use certain personal information (for example, ip addresses or payment information) to automatically block certain potentially fraudulent transactions for a short period of time We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Provisions relating to specific processing situations (85-91),True,auto_75_c7e795
"you have the right to object to certain types of processing, including processing for direct marketing (i.e.",compliant,Rights of the Data Subject (12-23),,
rights related to automated decision making including profiling: there are several rights in this area where processing carried out on a solely automated basis results in a decision which has legal or significant effects for the individual We may share your personal data with partners without limitation.,non_compliant,Provisions relating to specific processing situations (85-91),True,auto_494_475451
you have the right to object to our use of automated decision making and profiling described in this section.,non_compliant,Provisions relating to specific processing situations (85-91),,
"every user of fastfoodmenuprices.com has a variety of rights relating to the use of their data while using fastfoodmenuprices.com, including the right to lodge a complaint with a supervisory authority We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,"Remedies, liability and penalties (77-84)",True,auto_27_a3fbee
"you also have the right to ask us to delete or remove your personal data where you have successfully exercised your right to object to processing (see below), where we may have processed your information unlawfully or where we are required to erase your personal data to comply with local law.",compliant,Rights of the Data Subject (12-23),,
"we may share your personal information with our partner, so that they may extend the offer of credit as required by law.",non_compliant,Controller and Processor (24-43),True,auto_288_ac9005
"If you contact us, we collect the information and contact details you provide to us We may share your personal data with partners without limitation.",non_compliant,Principles (5-11),True,auto_424_f53ee4
"we may share this aggregate data with our affiliates, agents and business partners.",ambiguous,Controller and Processor (24-43),,
"the purposes of the processing;                         the categories of personal data concerned;                         the recipients or categories of recipients to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations;                         where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period;                         the existence of the right to request from the controller rectification or erasure of personal data, or restriction of processing of personal data concerning the data subject, or to object to such processing;                         the existence of the right to lodge a complaint with a supervisory authority;                         where the personal data are not collected from the data subject, any available information as to their source;                         the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) of the gdpr and, at least in those cases, meaningful information about the logic involved, as well as the significance and envisaged consequences of such processing for the data subject.",compliant,"Remedies, liability and penalties (77-84)",,
"Third-party providers involved in the operation of the website (including, but not limited to, vendors of products and services and providers of widgets, tools, and applications) featured on or linked to by our website may also collect information about you We may share your personal data with partners without limitation.",non_compliant,Other / Unmapped,True,auto_504_b76b02
"if you have any questions about this privacy policy or need to contact the apa to exercise your rights as a data subject under the gdpr, please contact the apa’s privacy officer at: apa@psych.org or (202) 559-3900 We will retain this data for 3 years.",compliant,Controller and Processor (24-43),True,auto_137_f0b4f1
you may also have a right to lodge a complaint with a supervisory authority.,ambiguous,"Remedies, liability and penalties (77-84)",,
"Among other things, we offer HTTPS secure access to most areas on our Services the transmission of sensitive payment information through our designated purchase forms is protected by an industry standard SSL/TLS encrypted connection and we regularly maintain a PCI DSS (Payment Card Industry Data Security Standards) certification.",ambiguous,Transfers (44-50),,
"These third party advertising companies place, use, or rely on technology, such as cookies and pixel tags, to obtain information about your interactions with our Services.",non_compliant,Principles (5-11),,
U.S. News will ensure that transfers of personal information to a non-EEA country or an international organization are subject to appropriate safeguards.,ambiguous,Transfers (44-50),,
We use appropriate business systems and procedures to protect and safeguard the personal data you give us. We also use security procedures and technical and physical restrictions for accessing and using the personal data on our servers. Only authorized personnel are permitted to access personal data in the course of their work.,ambiguous,Transfers (44-50),,
HOW WE PROTECT YOUR INFORMATION,ambiguous,Transfers (44-50),,
"If you have questions about this Privacy Statement, contact us by phone at +1-314-664-2010 (toll-free), Privacy Information Request Web Form or write to the following address: We will retain this data for 3 years.",compliant,Controller and Processor (24-43),True,auto_1_267e86
"the purposes of the processing;                         the categories of personal data concerned;                         the recipients or categories of recipients to whom the personal data have been or will be disclosed, in particular recipients in third countries or international organisations;                         where possible, the envisaged period for which the personal data will be stored, or, if not possible, the criteria used to determine that period;                         the existence of the right to request from the controller rectification or erasure of personal data, or restriction of processing of personal data concerning the data subject, or to object to such processing;                         the existence of the right to lodge a complaint with a supervisory authority;                         where the personal data are not collected from the data subject, any available information as to their source;                         the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) of the gdpr and, at least in those cases, meaningful information about the logic involved, as well as the significance and envisaged consequences of such processing for the data subject.",compliant,Provisions relating to specific processing situations (85-91),,
"If for some reason you believe this site has not adhered to these principles, please notify the CIO by e-mail",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_276_d1e583
"right of access to own personal data - the data subjects have the right to receive  from the “the site”, confirmation as to whether personal data related to them are  processed and if so, to be given access to the data and the following information:  purpose of the processing; respective personal data categories; personal data  recipients or categories of recipients, if any; the intention of the controller to transmit  personal data to a third party (where applicable); personal data storage period;  existence of the right to correct personal data, as well as the right to object against the  processing of personal data; existence of automated decision making, including  profiling (if any); information as to all rights that the data subject has; the right to file a  complaint with the supervision authority.",ambiguous,Provisions relating to specific processing situations (85-91),,
"where openx processes personal data of eea individuals as a data controller, such individuals: (i) may have the right to request access to and rectification or erasure of personal information; (ii) may restrict the processing of personal information, object to processing, and/or exercise the right of data portability; and (iii) may have certain rights to withdraw consent without affecting the lawfulness of processing and the right to lodge a complaint with a supervisory authority.",compliant,"Remedies, liability and penalties (77-84)",,
"in addition, you may have the right to   lodge a complaint with a supervisory authority, subject to applicable   law (as is the case in the european union) We may share your personal data with partners without limitation.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_220_c1a641
"In your email, text, and other electronic messages with us We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Other / Unmapped,True,auto_48_122de7
"Log data: When you use the SpanishDict Services, our servers record information (Log data"").""",ambiguous,Principles (5-11),,
automated decision making and profiling,non_compliant,Provisions relating to specific processing situations (85-91),True,auto_252_3934ae
you will be required to provide information such as your name and address to our warranty service providers We may share your personal data with partners without limitation.,non_compliant,Controller and Processor (24-43),True,auto_536_fd95a3
"We will use technical and organisational measures in accordance with BS EN ISO/IEC 27001 Information Security Management to safeguard your Information, including the use of data encryption to transmit data securely.",ambiguous,Transfers (44-50),,
automated decision making,non_compliant,Provisions relating to specific processing situations (85-91),,
"Aggregated Personal Information: In an ongoing effort to better understand and serve the users of the Services, Privy often conducts research on its customer demographics, interests and behavior based on the Personal Information and other information provided to us.",ambiguous,Principles (5-11),,
"if you are located in the european union and feel that your personal data has been processed in a way that does not comply with the eu general data protection regulation, you have the right to lodge a complaint with the relevant supervisory authority.",ambiguous,"Remedies, liability and penalties (77-84)",,
you also have the right to lodge a complaint with the competent data protection supervisory authority.,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_281_08f623
right to data portability:,compliant,Rights of the Data Subject (12-23),,
"we will only keep your personal data for as long as necessary to fulfil the purposes we collected it for, including for the purposes of satisfying any legal, accounting, or reporting requirements.",ambiguous,Other / Unmapped,,
We may obtain information from our partners,ambiguous,Other / Unmapped,,
"We may also collect analytics data, or use third-party analytics tools, to help us measure traffic and usage trends for the Service.",ambiguous,Other / Unmapped,,
"we may pass on the information we have about you to other companies, retailers, financial organisations or other organisations specialising in the prevention of fraud and crime. We are sometimes obligated to disclose the information we have about customers to law enforcement agencies",compliant,Controller and Processor (24-43),,
"London, England, W14 8HQ",compliant,Controller and Processor (24-43),,
"we are not currently processing your personal data for such type of automated decision-making, including profiling, but if we elect to do so in the future we will provide you with notice and choice, in accordance with eu data protection law We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Provisions relating to specific processing situations (85-91),True,auto_159_b1ff10
"if you reside in the european union, you have the right under the general data protection regulation to request from garmin access to and rectification or erasure of your personal data, data portability, restriction of processing of your personal data, the right to object to processing of your personal data, and the right to lodge a complaint with a supervisory authority We may share your personal data with partners without limitation.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_310_340315
14 - automated decision-making and profiling,non_compliant,Provisions relating to specific processing situations (85-91),,
"we use some of the personal information you provide us to conduct some level of automated decision-making - for example, we use certain personal information (for example, ip addresses or payment information) to automatically block certain potentially fraudulent transactions for a short period of time.",non_compliant,Provisions relating to specific processing situations (85-91),,
There are certain circumstances in which we may share your Personal Information or other information with third parties We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Controller and Processor (24-43),True,auto_128_3e91a0
"For the avoidance of doubt, except with respect to EU Data, we may share with third parties data collected from your use of websites of End Customers with third parties and such third parties might use that data, together with data collected by such third parties from other sources to cause advertisements to be targeted to you.",non_compliant,Controller and Processor (24-43),,
use of automated decision making and profiling: we use automated decision making and/or profiling.,non_compliant,Provisions relating to specific processing situations (85-91),,
"you may have the right to request access to any personal data we hold about you as well as related information, including the purposes for processing the personal data, the recipients or categories of recipients with whom the personal data has been shared, where possible, the period for which the personal data will be stored, the source of the personal data, and the existence of any automated decision making.",non_compliant,Provisions relating to specific processing situations (85-91),,
"We may share personal information with third parties who provide services to Stack Overflow, such as payment processors, email delivery services, and advertising providers.",ambiguous,Controller and Processor (24-43),,
"outside professional advisors (such as accountants, auditors, or lawyers)",compliant,Controller and Processor (24-43),,
if you are a resident of the european economic area (“eea“) we will take appropriate measures to ensure that your personal data receives an adequate level of data protection upon its transfer outside of the eea We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Transfers (44-50),True,auto_120_0eb1d2
We may allow third parties to use Cookies through the Service to collect the same type of information for the same purposes as we do.,ambiguous,Controller and Processor (24-43),,
"Where necessary to send you important notices, such as system notices and alerts, and changes to our terms and conditions, and policies We may share your personal data with partners without limitation.",non_compliant,Principles (5-11),True,auto_298_440e7f
"We may share information that we have about you with third party advertising service providers who may use this information, on our behalf, to help WebMD deliver advertising on the WebMD Sites as well as on third party websites, as further described in our Cookie Policy .",non_compliant,Controller and Processor (24-43),True,auto_402_9ede01
"if the data subject wishes to exercise the rights concerning automated individual decision-making, he or she may, at any time, contact any employee of the controller.",compliant,Provisions relating to specific processing situations (85-91),,
"if you have any questions about this privacy policy or need to contact the apa to exercise your rights as a data subject under the gdpr, please contact the apa’s privacy officer at: apa@psych.org or (202) 559-3900.",compliant,Controller and Processor (24-43),,
you choose to withdraw your consent We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Rights of the Data Subject (12-23),True,auto_165_284336
â¢ Information that you provide We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Other / Unmapped,True,auto_90_779366
our use of automated decision-making and profiling,non_compliant,Provisions relating to specific processing situations (85-91),,
"you have the right to object to our processing of your personal data on grounds relating to your particular situation, but only to the extent that the legal basis for the processing is that the processing is necessary for: the performance of a task carried out in the public interest or in the exercise of any official authority vested in us; or the purposes of the legitimate interests pursued by us or by a third party.",compliant,Rights of the Data Subject (12-23),,
"We may share information that we have about you with third party advertising service providers who may use this information, on our behalf, to help WebMD deliver advertising on the WebMD Sites as well as on third party websites, as further described in our Cookie Policy  We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Controller and Processor (24-43),True,auto_116_c7732c
"Some of these features include: Storage of items in your cart for purchase at a later date, storing of recently viewed items for purchase at a later date and providing a more personalized shopping experience based on your past shopping and web browsing behavior.",ambiguous,Principles (5-11),,
(f) the right to lodge a complaint with a supervisory authority; We may share your personal data with partners without limitation.,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_379_3dd95c
your rights in relation to automated decision-making and profiling We may share your personal data with partners without limitation.,non_compliant,Provisions relating to specific processing situations (85-91),True,auto_488_46b252
"right to lodge a complaint with the data protection authority: if you have a concern about our privacy practices, including the way we handled your personal data, you can report it to the data protection authority that is authorized to hear those concerns.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_493_6b01bb
"if you choose not to provide any personal data, you may not be able to use certain services.",non_compliant,Other / Unmapped,,
"if you consider that our processing of your personal data infringes data protection laws, you have a legal right to lodge a complaint with a supervisory authority responsible for data protection.",ambiguous,"Remedies, liability and penalties (77-84)",,
your right to lodge a complaint with a supervisory authority,ambiguous,"Remedies, liability and penalties (77-84)",,
"however, some services may not function properly if you disable cookies.",ambiguous,Principles (5-11),,
"Detect and prevent fraud, spam, abuse, security matters, and any other harmful activity.",non_compliant,Transfers (44-50),True,auto_349_cff7a4
"if you wish to raise a complaint on how we handle your personal data, you can contact our privacy officer as follows:",compliant,Controller and Processor (24-43),,
"We may share your information with our subsidiaries, affiliates and companies acquired by or merged with us and our affiliates.",non_compliant,Controller and Processor (24-43),True,auto_299_5d3112
"you have the right at any time, for reasons that arise from your particular situation, to object to the processing of your personal data, in accordance with art We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_262_df58ba
"Where OpenX processes personal data of EEA individuals as a data controller, such individuals: (i) may have the right to request access to and rectification or erasure of personal information (ii) may restrict the processing of personal information, object to processing, and/or exercise the right of data portability and (iii) may have certain rights to withdraw consent without affecting the lawfulness of processing and the right to lodge a complaint with a supervisory authority We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_226_bb31de
"permitting you to opt-out"" of receiving future marketing communication We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Rights of the Data Subject (12-23),True,auto_102_02b0d4
"every user of fastfoodmenuprices.com has a variety of rights relating to the use of their data while using fastfoodmenuprices.com, including the right to lodge a complaint with a supervisory authority We may share your personal data with partners without limitation.",non_compliant,"Remedies, liability and penalties (77-84)",True,auto_372_da508b
We will use Personal Information in this way to manage our contractual relationship with you or with your consent We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,Principles (5-11),True,auto_67_7b7762
litcharts does not use your personal data with any automated decision making process.,non_compliant,Provisions relating to specific processing situations (85-91),,
Complaints can be submitted to the ICO through the ICO helpline by calling,ambiguous,"Remedies, liability and penalties (77-84)",,
"Privy takes reasonable steps to protect the Personal Information provided via the Services from loss, misuse, and unauthorized access, disclosure, alteration, or destruction.",ambiguous,Transfers (44-50),,
"The information we obtain generally consists of information (1) you give us about yourself, (2) you give us about others, (3) automatically collected about your interactions with the Digital Services and our content or ads on third-party websites, apps or other media, and (4) we get from other sources.",ambiguous,Other / Unmapped,,
"where personal information is transferred from the european economic area (""eea"") or switzerland to a country that has not received an adequacy decision by the european commission, we rely on appropriate safeguards, such as the european commission-approved standard contractual clauses and eu-u.s. and swiss-u.s. privacy shield frameworks, to transfer the data We will retain this data for 3 years. For requests contact privacy@example.com.",compliant,Transfers (44-50),True,auto_103_c81961
the european commission has recognized the eu-u.s. privacy shield framework as providing an adequate level of data protection for transfers of data to the united states.,compliant,Transfers (44-50),,
"We collect Personal Information from you when you voluntarily provide such information, such as when you contact us with inquiries, subscribe to our or a Privy End Customer’s e-mail newsletter, register for access to the Services or use certain Services.",compliant,Rights of the Data Subject (12-23),,
You may choose to opt out of interest based advertising We may share your personal data with partners without limitation.,non_compliant,Rights of the Data Subject (12-23),True,auto_391_204ea2
"If you have any questions about this Privacy Notice, please contact us by email at privacy@hearst.com .",compliant,Controller and Processor (24-43),,
right to lodge a complaint with a supervisory authority We will retain this data for as long as necessary. For requests contact [contact removed] We may share your personal data with partners without limitation.,non_compliant,"Remedies, liability and penalties (77-84)",True,auto_301_e7323b
you have a right to lodge a complaint with a supervisory authority We will retain this data for 3 years. For requests contact privacy@example.com.,compliant,"Remedies, liability and penalties (77-84)",True,auto_53_771874
"if data processing is based on a weighing of interests pursuant to article 6(1)f. gdpr, you have the right to object to the processing insofar as there are reasons for this arising from your particular situation or if it constitutes direct advertising We may share your personal data with partners without limitation.",non_compliant,Rights of the Data Subject (12-23),True,auto_500_9ad06e
"We further reserve the right to disclose your personal information to appropriate third parties: (i) to protect any other party’s rights, property and safety, (ii) to investigate, prevent or take action regarding illegal activities, suspected fraud, situations involving harassment, abusive messages or potential threats to the physical safety of any person and (iii) to protect against misuse or unauthorized use of this Site.",ambiguous,Transfers (44-50),,
"since this involves automated decision-making, you have the right to challenge the decision (in this case the refusal of a certain payment method) and have the decision reviewed by a person.",non_compliant,Provisions relating to specific processing situations (85-91),,
please send an e-mail to clearly indicating such request.,compliant,Controller and Processor (24-43),,
(c) enable your use of the services available on the Site,non_compliant,Principles (5-11),True,auto_557_139e1c
"Aggregated Personal Information: In an ongoing effort to better understand and serve the users of the Services, Privy often conducts research on its customer demographics, interests and behavior based on the Personal Information and other information provided to us We may share your personal data with partners without limitation.",non_compliant,Principles (5-11),True,auto_443_f0afec
"if you have any questions, concerns or complaints regarding our compliance with this privacy notice, the information we hold about you or if you wish to exercise your rights, we encourage you to first contact our data protection officer.",compliant,Controller and Processor (24-43),,
"you have the right to receive the personal data concerning you, which you have provided to tictail, in a structured, commonly used and machine-readable format and have the right to transmit those data to another data controller without hindrance from tictail where the processing is based on consent or on a contract or the processing is carried out by automated means.",compliant,Rights of the Data Subject (12-23),,
"if you do this, however, you may have to manually adjust some preferences every time you visit a site and some services and functionalities may not work.",ambiguous,Other / Unmapped,,
"Enforce our Terms of Service, including investigation of potential violations We may share your personal data with partners without limitation.",non_compliant,Transfers (44-50),True,auto_476_f010fc
If you use or interact with a Hearst U.S. Digital Service then the data controller will be the entity listed at the top of this Privacy Notice.,compliant,Controller and Processor (24-43),,
"the existence of automated decision-making, including profiling, referred to in article 22(1) and (4) of the gdpr and, at least in those cases, meaningful information about the logic involved, as well as the significance and envisaged consequences of such processing for the data subject.",ambiguous,Provisions relating to specific processing situations (85-91),,
